opposition,venue,file
Birmingham City,h,WBABir24
Birmingham City,a,BirWBA24
Blackburn Rovers,h,WBABburn24
Blackburn Rovers,a,BburnWBA24
Bristol City,h,WBABriC24
Bristol City,a,BriCWBA24
Cardiff City,h,WBACar24
Cardiff City,a,CarWBA24
Coventry City,h,WBACov24
Coventry City,a,CovWBA24
Huddersfield Town,h,WBAHud24
Huddersfield Town,a,HudWBA24
Hull City,h,WBAHull24
Hull City,a,HullWBA24
Ipswich Town,h,WBAIps24
Ipswich Town,a,IpsWBA24
Leeds,h,WBALee24
Leeds,a,LeeWBA24
Leicester City,h,WBALei24
Leicester City,a,LeiWBA24
Middlesbrough,h,WBAMid24
Middlesbrough,a,MidWBA24
Millwall,h,WBAMil24
Millwall,a,MilWBA24
Norwich City,h,WBANor24
Norwich City,a,NorWBA24
Plymouth,h,WBAPly24
Plymouth,a,PlyWBA24
Preston North End,h,WBAPNE24
Preston North End,a,PNEWBA24
QPR,h,WBAQPR24
QPR,a,QPRWBA24
Rotherham United,h,WBARot24
Rotherham United,a,RotWBA24
Sheffield Wednesday,h,WBAWed24
Sheffield Wednesday,a,WedWBA24
Southampton,h,WBASou24
Southampton,a,SouWBA24
Stoke City,h,WBASto24
Stoke City,a,StoWBA24
Sunderland,h,WBASun24
Sunderland,a,SunWBA24
Swansea City,h,WBASwa24
Swansea City,a,SwaWBA24
Watford,h,WBAWat24
Watford,a,WatWBA24
